SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
185,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,184,Queens                                                                                                                                                                                                                                                    ,Rosedale                                                                                                                                                                                                                                                  ,40.67836            ,-73.729             
186,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,185,Queens                                                                                                                                                                                                                                                    ,Edgemere                                                                                                                                                                                                                                                  ,40.59606            ,-73.77882           
187,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,186,Staten Island                                                                                                                                                                                                                                             ,New Brighton                                                                                                                                                                                                                                              ,40.64465            ,-74.09272           
188,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,187,Staten Island                                                                                                                                                                                                                                             ,Midland Beach                                                                                                                                                                                                                                             ,40.57411            ,-74.09436           
189,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,188,Bronx                                                                                                                                                                                                                                                     ,Baychester                                                                                                                                                                                                                                                ,40.87223            ,-73.84335           
190,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,189,Bronx                                                                                                                                                                                                                                                     ,Melrose                                                                                                                                                                                                                                                   ,40.8183             ,-73.91938           
191,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,190,Brooklyn                                                                                                                                                                                                                                                  ,Bergen Beach                                                                                                                                                                                                                                              ,40.6235             ,-73.91056           
192,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,191,Staten Island                                                                                                                                                                                                                                             ,Richmondtown                                                                                                                                                                                                                                              ,40.57093            ,-74.12429           
193,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,192,Staten Island                                                                                                                                                                                                                                             ,Howland Hook                                                                                                                                                                                                                                              ,40.63245            ,-74.17065           
194,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,193,Bronx                                                                                                                                                                                                                                                     ,Schuylerville                                                                                                                                                                                                                                             ,40.8355             ,-73.83729           
195,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,194,Brooklyn                                                                                                                                                                                                                                                  ,Coney Island                                                                                                                                                                                                                                              ,40.57476            ,-74.00101           
196,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,195,Staten Island                                                                                                                                                                                                                                             ,New Dorp Beach                                                                                                                                                                                                                                            ,40.56464            ,-74.1               
197,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,196,Staten Island                                                                                                                                                                                                                                             ,Prince'S Bay                                                                                                                                                                                                                                              ,40.52211            ,-74.18028           
198,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,197,Staten Island                                                                                                                                                                                                                                             ,South Beach                                                                                                                                                                                                                                               ,40.59116            ,-74.08174           
199,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,198,Brooklyn                                                                                                                                                                                                                                                  ,Bath Beach                                                                                                                                                                                                                                                ,40.60979            ,-74.01121           
200,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,199,Queens                                                                                                                                                                                                                                                    ,Jamaica Hills                                                                                                                                                                                                                                             ,40.71245            ,-73.79806           
201,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,200,Staten Island                                                                                                                                                                                                                                             ,Oakwood                                                                                                                                                                                                                                                   ,40.56233            ,-74.12673           
202,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,201,Bronx                                                                                                                                                                                                                                                     ,Castle Hill                                                                                                                                                                                                                                               ,40.82286            ,-73.84765           
203,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,202,Queens                                                                                                                                                                                                                                                    ,Hollis                                                                                                                                                                                                                                                    ,40.71368            ,-73.76337           
204,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,203,Queens                                                                                                                                                                                                                                                    ,Douglaston                                                                                                                                                                                                                                                ,40.76978            ,-73.73915           
205,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,204,Staten Island                                                                                                                                                                                                                                             ,Huguenot                                                                                                                                                                                                                                                  ,40.53871            ,-74.16966           
206,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,205,Bronx                                                                                                                                                                                                                                                     ,Olinville                                                                                                                                                                                                                                                 ,40.88438            ,-73.86397           
207,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,206,Bronx                                                                                                                                                                                                                                                     ,Edenwald                                                                                                                                                                                                                                                  ,40.88534            ,-73.83434           
208,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,207,Staten Island                                                                                                                                                                                                                                             ,Grant City                                                                                                                                                                                                                                                ,40.58023            ,-74.10725           
209,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,208,Staten Island                                                                                                                                                                                                                                             ,Westerleigh                                                                                                                                                                                                                                               ,40.61357            ,-74.13566           
210,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,209,Staten Island                                                                                                                                                                                                                                             ,"Bay Terrace, Staten Island                                                                                                                                                                                                                                ",40.55182            ,-74.14439           
211,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,210,Bronx                                                                                                                                                                                                                                                     ,Westchester Square                                                                                                                                                                                                                                        ,40.83758            ,-73.84382           
212,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,211,Queens                                                                                                                                                                                                                                                    ,Little Neck                                                                                                                                                                                                                                               ,40.75794            ,-73.72956           
213,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,212,Staten Island                                                                                                                                                                                                                                             ,Fort Wadsworth                                                                                                                                                                                                                                            ,40.59546            ,-74.06092           
214,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,213,Staten Island                                                                                                                                                                                                                                             ,Rosebank                                                                                                                                                                                                                                                  ,40.61353            ,-74.06724           
215,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,214,Bronx                                                                                                                                                                                                                                                     ,Unionport                                                                                                                                                                                                                                                 ,40.83121            ,-73.8483            
216,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,215,Brooklyn                                                                                                                                                                                                                                                  ,Mill Basin                                                                                                                                                                                                                                                ,40.60903            ,-73.91846           
217,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,216,Staten Island                                                                                                                                                                                                                                             ,Arden Heights                                                                                                                                                                                                                                             ,40.56033            ,-74.18259           
218,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,217,Staten Island                                                                                                                                                                                                                                             ,Bull'S Head                                                                                                                                                                                                                                               ,40.60295            ,-74.17117           
219,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,218,Staten Island                                                                                                                                                                                                                                             ,New Dorp                                                                                                                                                                                                                                                  ,40.57044            ,-74.11747           
220,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,219,Staten Island                                                                                                                                                                                                                                             ,Rossville                                                                                                                                                                                                                                                 ,40.5479             ,-74.21017           
221,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,220,Queens                                                                                                                                                                                                                                                    ,Breezy Point                                                                                                                                                                                                                                              ,40.56605            ,-73.86994           
222,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,221,Staten Island                                                                                                                                                                                                                                             ,Willowbrook                                                                                                                                                                                                                                               ,40.59886            ,-74.13217           
