SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
81,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,80,Brooklyn                                                                                                                                                                                                                                                  ,Sunset Park                                                                                                                                                                                                                                               ,40.66293            ,-73.99833           
82,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,81,Bronx                                                                                                                                                                                                                                                     ,Concourse                                                                                                                                                                                                                                                 ,40.83001            ,-73.92158           
83,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,82,Queens                                                                                                                                                                                                                                                    ,Elmhurst                                                                                                                                                                                                                                                  ,40.7347             ,-73.88066           
84,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,83,Brooklyn                                                                                                                                                                                                                                                  ,Brighton Beach                                                                                                                                                                                                                                            ,40.58147            ,-73.96726           
85,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,84,Queens                                                                                                                                                                                                                                                    ,Jackson Heights                                                                                                                                                                                                                                           ,40.74965            ,-73.89344           
86,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,85,Brooklyn                                                                                                                                                                                                                                                  ,Cypress Hills                                                                                                                                                                                                                                             ,40.67855            ,-73.8896            
87,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,86,Queens                                                                                                                                                                                                                                                    ,St. Albans                                                                                                                                                                                                                                                ,40.70554            ,-73.76637           
88,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,87,Staten Island                                                                                                                                                                                                                                             ,Arrochar                                                                                                                                                                                                                                                  ,40.59251            ,-74.06479           
89,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,88,Queens                                                                                                                                                                                                                                                    ,Rego Park                                                                                                                                                                                                                                                 ,40.73349            ,-73.86009           
90,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,89,Bronx                                                                                                                                                                                                                                                     ,Wakefield                                                                                                                                                                                                                                                 ,40.89557            ,-73.8447            
91,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,90,Staten Island                                                                                                                                                                                                                                             ,Clifton                                                                                                                                                                                                                                                   ,40.62318            ,-74.07848           
92,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,91,Brooklyn                                                                                                                                                                                                                                                  ,Bay Ridge                                                                                                                                                                                                                                                 ,40.6339             ,-74.02035           
