SK_ROOM_TYPE;VERSAO;DT_INICIO;DT_FIM;NK_ID_ROOM_TYPE;NM_ROOM_TYPE
1;1;;;;                                                                                                                                                                                                                                                          
2;1;2000/01/01 00:00:00.000000000;2022/01/01 00:00:00.000000000;1;Private Room                                                                                                                                                                                                                                              
3;1;2000/01/01 00:00:00.000000000;2022/01/01 00:00:00.000000000;2;Entire Home/Apt                                                                                                                                                                                                                                           
4;1;2000/01/01 00:00:00.000000000;2022/01/01 00:00:00.000000000;3;Shared Room                                                                                                                                                                                                                                               
